#Bucket,PerfectCC-
2.430000000000000000e+02,4.282400000000000000e+04
2.440000000000000000e+02,4.383100000000000000e+04
2.450000000000000000e+02,4.282400000000000000e+04
2.460000000000000000e+02,4.356600000000000000e+04
2.470000000000000000e+02,4.324800000000000000e+04
2.480000000000000000e+02,4.314200000000000000e+04
2.490000000000000000e+02,4.430800000000000000e+04
2.500000000000000000e+02,4.250600000000000000e+04
2.510000000000000000e+02,4.425500000000000000e+04
2.520000000000000000e+02,4.287700000000000000e+04
2.530000000000000000e+02,4.308900000000000000e+04
2.540000000000000000e+02,4.324800000000000000e+04
2.550000000000000000e+02,4.346000000000000000e+04
2.560000000000000000e+02,4.372500000000000000e+04
2.570000000000000000e+02,4.324800000000000000e+04
2.580000000000000000e+02,4.303600000000000000e+04
2.590000000000000000e+02,4.314200000000000000e+04
2.600000000000000000e+02,4.399000000000000000e+04
2.610000000000000000e+02,4.255900000000000000e+04
2.620000000000000000e+02,4.452000000000000000e+04
2.630000000000000000e+02,4.287700000000000000e+04
2.640000000000000000e+02,4.303600000000000000e+04
2.650000000000000000e+02,4.361900000000000000e+04
2.660000000000000000e+02,4.351300000000000000e+04
2.670000000000000000e+02,4.319500000000000000e+04
2.680000000000000000e+02,4.319500000000000000e+04
2.690000000000000000e+02,4.319500000000000000e+04
2.700000000000000000e+02,4.346000000000000000e+04
2.710000000000000000e+02,4.409600000000000000e+04
2.720000000000000000e+02,4.308900000000000000e+04
2.730000000000000000e+02,4.234700000000000000e+04
2.740000000000000000e+02,4.446700000000000000e+04
2.750000000000000000e+02,4.319500000000000000e+04
2.760000000000000000e+02,4.367200000000000000e+04
2.770000000000000000e+02,4.202900000000000000e+04
2.780000000000000000e+02,4.462600000000000000e+04
2.790000000000000000e+02,4.287700000000000000e+04
2.800000000000000000e+02,4.356600000000000000e+04
2.810000000000000000e+02,4.340700000000000000e+04
2.820000000000000000e+02,4.298300000000000000e+04
2.830000000000000000e+02,4.425500000000000000e+04
2.840000000000000000e+02,4.229400000000000000e+04
2.850000000000000000e+02,4.425500000000000000e+04
2.860000000000000000e+02,4.446700000000000000e+04
2.870000000000000000e+02,4.123400000000000000e+04
2.880000000000000000e+02,4.361900000000000000e+04
2.890000000000000000e+02,4.425500000000000000e+04
2.900000000000000000e+02,4.240000000000000000e+04
2.910000000000000000e+02,4.388400000000000000e+04
2.920000000000000000e+02,4.261200000000000000e+04
2.930000000000000000e+02,4.367200000000000000e+04
2.940000000000000000e+02,4.340700000000000000e+04
2.950000000000000000e+02,4.346000000000000000e+04
2.960000000000000000e+02,4.202900000000000000e+04
